subject, state, phase, time
1, start, 0, 2018-01-19T17:52:42.999642+00:00
1, stop, 0, 2018-01-19T17:52:55.195631+00:00
1, start, 0, 2018-01-19T17:53:02.695930+00:00
1, stop, 0, 2018-01-19T17:53:15.302756+00:00
1, start, 0, 2018-01-19T17:53:22.896308+00:00
1, stop, 0, 2018-01-19T17:53:34.942321+00:00
1, start, 1, 2018-01-19T17:53:58.724374+00:00
1, stop, 1, 2018-01-19T17:54:10.738688+00:00
1, start, 1, 2018-01-19T17:54:15.587406+00:00
1, stop, 1, 2018-01-19T17:54:27.621169+00:00
1, start, 1, 2018-01-19T17:54:32.739561+00:00
1, stop, 1, 2018-01-19T17:54:44.729414+00:00
1, start, 1, 2018-01-19T17:54:51.248097+00:00
1, stop, 1, 2018-01-19T17:55:03.278194+00:00
1, start, 1, 2018-01-19T17:55:08.072735+00:00
1, stop, 1, 2018-01-19T17:55:20.089074+00:00
1, start, 1, 2018-01-19T17:55:28.847232+00:00
1, stop, 1, 2018-01-19T17:55:40.869221+00:00
1, start, 1, 2018-01-19T17:55:47.165072+00:00
1, stop, 1, 2018-01-19T17:55:59.184827+00:00
1, start, 1, 2018-01-19T17:56:06.070051+00:00
1, stop, 1, 2018-01-19T17:56:18.082542+00:00
1, start, 1, 2018-01-19T17:56:22.856574+00:00
1, stop, 1, 2018-01-19T17:56:34.864467+00:00
1, start, 1, 2018-01-19T17:56:43.234037+00:00
1, stop, 1, 2018-01-19T17:56:55.248862+00:00
1, start, 1, 2018-01-19T17:56:59.980234+00:00
1, stop, 1, 2018-01-19T17:57:12.010796+00:00
1, start, 1, 2018-01-19T17:57:17.790029+00:00
1, stop, 1, 2018-01-19T17:57:29.788268+00:00
1, start, 2, 2018-01-19T17:58:19.824480+00:00
1, stop, 2, 2018-01-19T17:58:49.201879+00:00
1, start, 2, 2018-01-19T17:59:04.727621+00:00
1, stop, 2, 2018-01-19T17:59:41.485301+00:00
1, start, 3, 2018-01-19T18:00:30.199754+00:00
1, stop, 3, 2018-01-19T18:02:14.630116+00:00
1, start, 3, 2018-01-19T18:02:23.414041+00:00
1, stop, 3, 2018-01-19T18:03:17.187014+00:00
1, start, 3, 2018-01-19T18:03:24.252595+00:00
1, stop, 3, 2018-01-19T18:04:28.275072+00:00
1, start, 3, 2018-01-19T18:04:32.756172+00:00
1, stop, 3, 2018-01-19T18:05:07.008739+00:00
1, start, 3, 2018-01-19T18:05:11.447188+00:00
1, stop, 3, 2018-01-19T18:05:56.419842+00:00
1, start, 3, 2018-01-19T18:06:01.563383+00:00
1, stop, 3, 2018-01-19T18:06:56.744521+00:00
1, start, 3, 2018-01-19T18:07:01.195853+00:00
1, stop, 3, 2018-01-19T18:07:53.016462+00:00
1, start, 3, 2018-01-19T18:07:56.742684+00:00
1, stop, 3, 2018-01-19T18:08:19.665055+00:00
1, start, 3, 2018-01-19T18:08:23.731730+00:00
1, stop, 3, 2018-01-19T18:09:16.892578+00:00
1, start, 3, 2018-01-19T18:09:20.863704+00:00
1, stop, 3, 2018-01-19T18:10:43.597823+00:00
1, start, 3, 2018-01-19T18:10:47.619189+00:00
1, stop, 3, 2018-01-19T18:11:14.316151+00:00
